dataFirstNames;dataLastName;dataEmail;dataPhone;dataFax;dataTitle;dataJobTitle;dataPositionType;dataOrganization;dataJobStartDate;dataURI
Rosella;Burks;BurksR@univ.edu;963.555.1253;963.777.4065;Professor ;Professor of Thermal Energy;Faculty;Geothermal Technology Department;2001;http://vivoweb.org/ontology/core#Department
Damien;Avila;AvilaD@univ.edu;963.555.1352;963.777.7914;Professor ;Professor of Gravitational Energy;Faculty;Geothermal Technology Department;2003;http://vivoweb.org/ontology/core#Department
Robin;Olsen;OlsenR@univ.edu;963.555.1378;963.777.9262;Assistant Professor;Assistant Professor I;Faculty;Geothermal Technology Department;2001;http://vivoweb.org/ontology/core#Department
Edgar, Estes;Moises;MoisesE@univ.edu;963.555.2731x3565;963.777.8264;Professor;Professor of Thermodynamics;Faculty;Geothermal Technology Department;2000;http://vivoweb.org/ontology/core#Department
Heath, Pruitt;Brian;BrianH@univ.edu;963.555.2800;963.777.7249;Associate Curator ;Associate Curator  of North Library;Faculty;Geothermal Technology Department;2001;http://vivoweb.org/ontology/core#Department
Elvin, Haney;Claude;ClaudeE@univ.edu;963.555.2902;963.777.9730;Curator;Curator of North Library;Faculty;Geothermal Technology Department;2005;http://vivoweb.org/ontology/core#Department
Edmund;Mosley;MosleyE@univ.edu;963.555.2945;963.777.9285;Assistant Professor;Assistant Professor II;Faculty;Geothermal Technology Department;2006;http://vivoweb.org/ontology/core#Department
Antoine, Mccoy;Derek;DerekA@univ.edu;963.555.2992;963.777.5454;Curator;Curator of East Library;Faculty;Geothermal Technology Department;2002;http://vivoweb.org/ontology/core#Department
Callie;Hawkins;HawkinsC@univ.edu;963.555.3350x6480;963.777.4949;Professor;Professor of Cogeneration;Faculty;Geothermal Technology Department;2010;http://vivoweb.org/ontology/core#Department
Andrea;Pate;PateA@univ.edu;963.555.3723;963.777.5049;Professor;Professor of Thermodynamics;Faculty;Geothermal Technology Department;2007;http://vivoweb.org/ontology/core#Department
Liz;Austin;AustinL@univ.edu;963.555.4305;963.777.6143;Assistant Professor;Assistant Professor III;Faculty;Geothermal Technology Department;2008;http://vivoweb.org/ontology/core#Department
Reba, Alford;Kendrick;KendrickR@univ.edu;963.555.4618x7744;963.777.4371;Associate Curator ;Associate Curator  of West Library;Faculty;Geothermal Technology Department;2008;http://vivoweb.org/ontology/core#Department
Angelina;Sims;SimsA@univ.edu;963.555.5278;963.777.4400;Professor;Professor of Cogeneration;Faculty;Geothermal Technology Department;2005;http://vivoweb.org/ontology/core#Department
Kimberly;Mullins;MullinsK@univ.edu;963.555.5471x1017;963.777.9783;Assistant Professor;Assistant Professor IV;Faculty;Geothermal Technology Department;2008;http://vivoweb.org/ontology/core#Department
Lloyd, Haney;Chuck;ChuckL@univ.edu;963.555.5568x2652;963.777.9290;Assistant Professor;Assistant Professor V;Faculty;Geothermal Technology Department;2003;http://vivoweb.org/ontology/core#Department
Ladonna;Payne;PayneL@univ.edu;963.555.5639;963.777.6469;Professor;Professor of Thermodynamics;Faculty;Geothermal Technology Department;2002;http://vivoweb.org/ontology/core#Department
